D,F,X,Y,Z,date
NA,NA,NA,NA,NA,1979-01-01
NA,NA,NA,NA,NA,1979-01-02
NA,NA,NA,NA,NA,1979-01-03
NA,NA,NA,NA,NA,1979-01-04
NA,NA,NA,NA,NA,1979-01-05
NA,NA,NA,NA,NA,1979-01-06
NA,NA,NA,NA,NA,1979-01-07
NA,NA,NA,NA,NA,1979-01-08
NA,NA,NA,NA,NA,1979-01-09
NA,NA,NA,NA,NA,1979-01-10
NA,NA,NA,NA,NA,1979-01-11
NA,NA,NA,NA,NA,1979-01-12
NA,NA,NA,NA,NA,1979-01-13
NA,NA,NA,NA,NA,1979-01-14
NA,NA,NA,NA,NA,1979-01-15
NA,NA,NA,NA,NA,1979-01-16
NA,NA,NA,NA,NA,1979-01-17
NA,NA,NA,NA,NA,1979-01-18
NA,NA,NA,NA,NA,1979-01-19
NA,NA,NA,NA,NA,1979-01-20
NA,NA,NA,NA,NA,1979-01-21
NA,NA,NA,NA,NA,1979-01-22
NA,NA,NA,NA,NA,1979-01-23
NA,NA,NA,NA,NA,1979-01-24
NA,NA,NA,NA,NA,1979-01-25
NA,NA,NA,NA,NA,1979-01-26
NA,NA,NA,NA,NA,1979-01-27
NA,NA,NA,NA,NA,1979-01-28
NA,NA,NA,NA,NA,1979-01-29
NA,NA,NA,NA,NA,1979-01-30
NA,NA,NA,NA,NA,1979-01-31
NA,NA,NA,NA,NA,1979-02-01
NA,NA,NA,NA,NA,1979-02-02
NA,NA,NA,NA,NA,1979-02-03
NA,NA,NA,NA,NA,1979-02-04
NA,NA,NA,NA,NA,1979-02-05
NA,NA,NA,NA,NA,1979-02-06
NA,NA,NA,NA,NA,1979-02-07
NA,NA,NA,NA,NA,1979-02-08
NA,NA,NA,NA,NA,1979-02-09
NA,NA,NA,NA,NA,1979-02-10
NA,NA,NA,NA,NA,1979-02-11
NA,NA,NA,NA,NA,1979-02-12
NA,NA,NA,NA,NA,1979-02-13
NA,NA,NA,NA,NA,1979-02-14
NA,NA,NA,NA,NA,1979-02-15
NA,NA,NA,NA,NA,1979-02-16
NA,NA,NA,NA,NA,1979-02-17
NA,NA,NA,NA,NA,1979-02-18
NA,NA,NA,NA,NA,1979-02-19
NA,NA,NA,NA,NA,1979-02-20
NA,NA,NA,NA,NA,1979-02-21
NA,NA,NA,NA,NA,1979-02-22
NA,NA,NA,NA,NA,1979-02-23
NA,NA,NA,NA,NA,1979-02-24
NA,NA,NA,NA,NA,1979-02-25
NA,NA,NA,NA,NA,1979-02-26
NA,NA,NA,NA,NA,1979-02-27
NA,NA,NA,NA,NA,1979-02-28
NA,NA,NA,NA,NA,1979-03-01
NA,NA,NA,NA,NA,1979-03-02
NA,NA,NA,NA,NA,1979-03-03
NA,NA,NA,NA,NA,1979-03-04
NA,NA,NA,NA,NA,1979-03-05
NA,NA,NA,NA,NA,1979-03-06
NA,NA,NA,NA,NA,1979-03-07
NA,NA,NA,NA,NA,1979-03-08
NA,NA,NA,NA,NA,1979-03-09
NA,NA,NA,NA,NA,1979-03-10
NA,NA,NA,NA,NA,1979-03-11
NA,NA,NA,NA,NA,1979-03-12
